gene_name	p-val
Ppa	8.155479160415966e-45
CR45270	1.099893515850258e-23
CG31688	7.629022129611984e-21
aralar1	5.336701801637614e-20
twi	6.04035490689382e-20
mlt	1.6338473666733696e-19
Rb97D	2.979320389761904e-18
endos	1.4451250184780704e-17
Pp2B-14D	1.863392946385062e-17
CG5059	1.925315054776946e-17
D	8.940484635842231e-17
Kr	3.7227498944224864e-16
spo	5.084489840677144e-16
Hsp26	7.438401362111035e-16
CG10932	8.231031158613262e-16
CG7322	9.455630760818476e-16
CG6293	1.6204271832283059e-15
tral	4.486075482241214e-15
Mtap	7.721576110859113e-15
Eip71CD	2.0066528104254296e-14
CG15771	3.000808293853371e-14
dhd	3.6810711232179076e-14
Cpr60D	5.4135176283951254e-14
CG1463	5.511269870652287e-14
mub	9.715111564736955e-14
Obp99a	1.2373693393403002e-13
Aldh	1.2735885565762586e-13
CG6084	2.6383663702315193e-13
Inx3	3.3492650686493525e-13
fkh	5.356733170787372e-13
CG17259	8.529327172887972e-13
Sucb	1.0815752766031845e-12
spir	1.2793202101395484e-12
Rpn3	1.4113074962774723e-12
CG10035	1.7078232326658147e-12
CG9926	1.866853743807822e-12
Fmr1	1.8910396491657267e-12
CG8635	2.3204678377992912e-12
CG1407	2.438695758804034e-12
CG11779	3.2226916793420908e-12
RpL27A	3.5667646773424357e-12
Pglym78	4.010329607210499e-12
CG14440	5.270577064896849e-12
Ggt-1	5.317465697867079e-12
Jheh2	6.525121000732404e-12
Hsp27	7.0041486164455184e-12
CG17292	7.069397300829442e-12
CG14915	1.0477116535107141e-11
TfIIB	1.126031548891434e-11
SCAR	1.2874583430443325e-11
und	1.315345509932993e-11
CG7326	1.846683410470576e-11
CG13126	1.8601390834196507e-11
CG45085	2.00282624003303e-11
Dysb	2.3959520975337803e-11
CG8960	2.5361836759423283e-11
CG6923	2.5617367366904707e-11
CG6073	2.643714618468503e-11
del	3.016513440071501e-11
gammaTub37C	3.2405567213122356e-11
CG42662	3.37466390473948e-11
Max	3.485827818929696e-11
Nup62	4.443311799852005e-11
ATPsyn-Cf6	4.528453882165455e-11
GIIIspla2	4.590280241542701e-11
ste14	5.7384038340530985e-11
Mkk4	5.749310531471617e-11
term	6.114700629209625e-11
yem	7.091077506241639e-11
CG2694	9.324126887065582e-11
CG17036	9.863478908552638e-11
CG3887	9.965154694424824e-11
Dip-B	1.8134546124822804e-10
RYBP	1.8594795082450921e-10
CG7271	1.8988419372222957e-10
RluA-2	2.240437687339256e-10
CG34214	2.2824580875883132e-10
Girdin	2.624541564251392e-10
CG10866	3.396905875841516e-10
CG16817	3.404014265631563e-10
Dtg	3.6539440223853724e-10
CG6770	3.796853379026171e-10
Tango7	3.8631901584086613e-10
CG43313	4.1185589554731235e-10
Grip84	4.2218554925148943e-10
KP78b	4.4837405692153916e-10
Uch	4.873525897668081e-10
Sec13	5.040822304361904e-10
Ric	5.364980372112375e-10
Pdi	5.623457559094669e-10
CG4440	5.776257378810167e-10
hkb	6.308140979502258e-10
btsz	6.795772789282215e-10
eIF4G2	7.25039687797188e-10
CG2129	7.404121510306092e-10
NHP2	7.718047132627788e-10
bon	9.425818393508613e-10
sala	1.1303834544633463e-09
Ilp4	1.1770038641765402e-09
CG12096	1.3955756335258568e-09
mira	1.5659478404520598e-09
CG17490	1.601458360365714e-09
vvl	1.6453014437246714e-09
cype	1.649331440932476e-09
CR43467	1.6990462633804706e-09
CG33129	1.748563774447321e-09
CG10979	1.7539811489648448e-09
Psc	1.8656611869130307e-09
CG5384	1.9403134094429815e-09
bnb	2.15933930826071e-09
CG10565	2.1964844385271087e-09
SoxN	2.1982914939941418e-09
APC7	2.222190012766824e-09
U2af50	2.2464133688386916e-09
slgA	2.3689263861359753e-09
rho-4	2.4326517310908394e-09
Gdi	2.443108723429239e-09
CG13427	2.5608213550398707e-09
Rpt3	2.600742741610438e-09
spri	2.7501429436218108e-09
Aats-asn	3.1396997061625573e-09
sca	3.1550217457657942e-09
CG13454	3.5968093103270996e-09
FKBP59	3.687567683915702e-09
Unc-76	3.8148010126819866e-09
CG5068	4.245904408741942e-09
CG6424	4.485495571105619e-09
Non1	4.514900796499039e-09
fray	4.938528156941005e-09
CG1885	5.075204510394355e-09
RPA2	5.191463134384455e-09
rngo	5.320625228230584e-09
CG43725	5.5608413107370815e-09
Nedd4	6.1100016318604225e-09
Abl	6.249029528589294e-09
CG8026	6.405972125335571e-09
link	7.138634517536194e-09
Sec24CD	7.291948496440937e-09
CG4164	7.82495742170211e-09
amx	8.532053081474304e-09
Desat1	9.225764780724805e-09
Tcp-1zeta	9.662471003416369e-09
Cys	1.0260730641994221e-08
brk	1.0668207919393036e-08
Dref	1.0973157240806475e-08
CG45099	1.2047500860294117e-08
CG2145	1.3327426582108563e-08
Hex-A	1.3342899277315857e-08
insv	1.3436934695543457e-08
Mnn1	1.4514544794655745e-08
l(2)k14505	1.4575084135473753e-08
mip40	1.5685894890679802e-08
Gapdh2	1.64770794278206e-08
crq	1.6751690089366688e-08
CG13397	1.6760875360770265e-08
AcCoAS	1.6985757250107256e-08
Prosbeta7	1.8294242584899536e-08
CG14435	1.8987935886867603e-08
CR44676	1.9026283174245836e-08
Hsromega	1.9259379649236602e-08
Ncoa6	1.9725955000373313e-08
CG15891	2.0297217657839618e-08
Bx	2.1177153313221366e-08
egr	2.1179288202665976e-08
HDAC6	2.170379273310101e-08
CG6565	2.1974242982106783e-08
CG32103	2.2010697157776288e-08
Hmgs	2.277479260780437e-08
CG17249	2.4165435303532756e-08
GILT2	2.4634605625458765e-08
CG9855	2.557684837646724e-08
Amnionless	2.5758398989363132e-08
CG11007	2.6311709499280445e-08
