gene_name	p-val
Ppa	4.1623492174478886e-44
CR45270	2.083501228013574e-23
CG31688	1.1955933123364077e-20
aralar1	1.1707251620038606e-19
twi	2.3983977920965966e-19
mlt	3.2477619653694003e-19
Rb97D	3.254417917696178e-18
CG5059	2.199729975868055e-17
Pp2B-14D	4.13150858086268e-17
endos	4.8470541846856225e-17
D	2.924985521385532e-16
Kr	4.1243669102289726e-16
CG10932	5.01497316954331e-16
Hsp26	8.624466111257708e-16
spo	1.5703259698200249e-15
CG7322	1.8520638652968397e-15
CG6293	4.813820555006543e-15
tral	5.5550535998280555e-15
Mtap	1.506498093904087e-14
CG1463	1.6134174597973942e-14
CG15771	1.975781862845757e-14
Eip71CD	3.042410691658239e-14
dhd	9.371227855179377e-14
Aldh	1.073098722716671e-13
mub	1.388928312878504e-13
Cpr60D	1.4147043557906819e-13
Obp99a	2.7587592520906283e-13
fkh	6.132472506270867e-13
CG6084	6.57675893335397e-13
Inx3	8.122029627689815e-13
CG1407	8.129369809104605e-13
CG11779	1.30995624912812e-12
Fmr1	1.4458020674310477e-12
CG17259	1.7105756980794863e-12
spir	1.759771390344826e-12
Sucb	2.0223370971942817e-12
CG10035	2.4482942520527528e-12
Rpn3	2.6133089465912506e-12
CG9926	2.8743577466300506e-12
CG8635	5.086568153168465e-12
RpL27A	6.035838028488647e-12
Pglym78	6.528935994335322e-12
CG17292	9.852921848257804e-12
CG14440	1.1826624088985067e-11
Ggt-1	1.1957837034017897e-11
Jheh2	1.4017011363201915e-11
SCAR	1.5666175639521247e-11
Hsp27	1.5742239077177042e-11
CG7326	1.944759363302739e-11
und	2.1504608765718128e-11
TfIIB	2.4830737019549178e-11
CG14915	2.904439998653773e-11
CG13126	3.992314465078804e-11
CG6923	4.094339614411255e-11
CG45085	4.330577233991149e-11
Dysb	5.178069184943521e-11
Max	5.290820654640364e-11
CG6073	5.642647238275789e-11
yem	5.955980663520042e-11
GIIIspla2	6.27342099357144e-11
del	6.39909309882543e-11
CG42662	6.561673792386696e-11
gammaTub37C	6.811120844144659e-11
ATPsyn-Cf6	8.819043781122005e-11
Mkk4	9.305038824101533e-11
Nup62	9.375952298019785e-11
ste14	9.505210143793427e-11
CG8960	1.323227221758252e-10
CG17036	1.4002881408119693e-10
Grip84	1.540675985536561e-10
Dip-B	1.5882963976108207e-10
CG2694	1.816856600115204e-10
CG3887	2.0222061673260504e-10
CG17490	2.3714680894820434e-10
term	2.5815405355000843e-10
Girdin	3.4637385501715895e-10
RYBP	3.7555170438676733e-10
RluA-2	4.344056743091741e-10
Uch	4.461692887998119e-10
eIF4G2	5.318376086128532e-10
CG7271	6.207501137803325e-10
CG16817	6.54045982549488e-10
CG10866	6.712594527002785e-10
Tango7	7.459713119710718e-10
CG43313	7.556048120796978e-10
KP78b	8.796553499271654e-10
btsz	9.072992221044141e-10
Sec13	9.092888629210909e-10
Ric	9.370797025399165e-10
CG34214	1.0208846833124184e-09
Pdi	1.063601033235065e-09
vvl	1.0640611472329316e-09
CG4440	1.0658777449625532e-09
bon	1.1760427383458156e-09
CG6770	1.3719732171124345e-09
NHP2	1.408536693534658e-09
amx	1.454542789192532e-09
Dtg	1.5086878608241247e-09
CG12096	1.9779581637478322e-09
CG33129	2.0593945895283084e-09
CR43467	2.2967262840741277e-09
Ilp4	2.3459690642354107e-09
cype	2.369603775602613e-09
hkb	2.5782776853440578e-09
CG2129	2.578628140746466e-09
Psc	2.779888582519976e-09
mira	2.920904239458719e-09
bnb	2.9372178434188506e-09
CG10979	2.9670803902967634e-09
Gdi	3.13174076588627e-09
U2af50	3.3742755691433097e-09
slgA	3.5311642076106123e-09
CG5384	3.593479541784457e-09
CG10565	3.964643948728605e-09
SoxN	4.064659265080999e-09
Rpt3	4.0777257939920876e-09
APC7	4.092183299205335e-09
rho-4	4.374390847739785e-09
sala	4.5332344144059354e-09
CG1885	4.641009880672958e-09
sca	4.999048195686436e-09
rngo	5.088818817928396e-09
Aats-asn	5.141872808110822e-09
CG13427	6.185686241483069e-09
CG5068	6.295452872242136e-09
FKBP59	6.7208893881748615e-09
Unc-76	6.918579159174964e-09
Sec24CD	7.079283649083212e-09
Abl	7.469944004784567e-09
CG6424	8.147430120979969e-09
Non1	8.19910942324943e-09
Nedd4	8.754582689893172e-09
fray	8.884356859236678e-09
RPA2	9.130638355443304e-09
spri	1.0077550080985275e-08
CG8026	1.1410311840373019e-08
CG13454	1.3382154073420731e-08
Desat1	1.339442801097475e-08
CG6565	1.80787884524086e-08
CG43725	1.8462730862774828e-08
Dref	1.886718810936402e-08
Hex-A	1.9206267077829592e-08
Mnn1	2.0185844897620964e-08
CG14435	2.0807505573060122e-08
Gapdh2	2.084520150927288e-08
HDAC6	2.1179778469888692e-08
AcCoAS	2.1841478022315245e-08
Tcp-1zeta	2.1991975162468593e-08
CG2145	2.206170328010321e-08
insv	2.208131881711773e-08
link	2.3463487038057223e-08
Ncoa6	2.350472961321903e-08
Hsromega	2.4956233593429926e-08
CG6180	2.5097003645979186e-08
l(2)k14505	2.5459327943044143e-08
CG4164	2.7199649161748087e-08
crq	2.880416503243621e-08
CG13397	2.894885484846146e-08
Prosbeta7	2.9712336107854654e-08
retm	3.138009613522552e-08
CG9855	3.1747392033281565e-08
Hmgs	3.181775449081047e-08
